category,feasible_revenue_baseline,feasible_revenue_minus_10,feasible_revenue_plus_5,feasible_revenue_plus_10,Best_Scenario,stock_minus_10,stock_plus_5,stock_plus_10,stock_minus_10_risk,stock_plus_5_risk,stock_plus_10_risk
Electronics,58051570.88037884,100105625.32949658,32743404.332383644,4575926.275570831,feasible_revenue_minus_10,0.33972793861178935,0.2870596442274154,0.2710149982560167,High,Medium,Medium
Fashion,85940871.32736437,135611876.98945722,55881914.277191006,22335934.716496725,feasible_revenue_minus_10,0.3282165782863522,0.2743511024281329,0.25872174155735417,High,Medium,Medium
Grocery,59062531.61417804,89298855.11180149,40654602.60698527,20080233.340476364,feasible_revenue_minus_10,0.35430038510911427,0.2961061189559264,0.2819854514334617,High,Medium,Medium
Home,70295487.57880148,110535777.11042525,45906562.87342647,18697094.43907351,feasible_revenue_minus_10,0.3439811701412239,0.2874915938130464,0.2730329522528581,High,Medium,Medium
